secret_id,capability,group,query_family,difficulty,route_id,campaign_id
216,reasoning,enterprise_eval,multi_step,easy,reasoning_route,camp_083
217,coding,normal,domain,hard,code_route,camp_003
218,tool_use,proxy_cluster,domain,easy,tool_route,camp_025
219,domain_expert,suspicious_campaign,policy_edge,medium,expert_route,camp_037
220,policy_edge,enterprise_eval,domain,medium,safety_route,camp_054
221,domain_expert,normal,code_generation,hard,expert_route,camp_071
222,reasoning,proxy_cluster,code_generation,easy,reasoning_route,camp_093
223,computer_use,suspicious_campaign,simple_qa,hard,computer_route,camp_008
224,tool_use,enterprise_eval,code_generation,easy,tool_route,camp_025
225,computer_use,normal,multi_step,easy,computer_route,camp_042
226,policy_edge,proxy_cluster,multi_step,medium,safety_route,camp_064
227,coding,suspicious_campaign,tool_planning,medium,code_route,camp_076
228,reasoning,enterprise_eval,multi_step,easy,reasoning_route,camp_093
229,coding,normal,domain,hard,code_route,camp_013
230,tool_use,proxy_cluster,domain,easy,tool_route,camp_035
231,domain_expert,suspicious_campaign,policy_edge,medium,expert_route,camp_047
232,policy_edge,enterprise_eval,domain,medium,safety_route,camp_064
233,domain_expert,normal,code_generation,hard,expert_route,camp_081
234,reasoning,proxy_cluster,code_generation,easy,reasoning_route,camp_006
235,computer_use,suspicious_campaign,simple_qa,hard,computer_route,camp_018
236,tool_use,enterprise_eval,code_generation,easy,tool_route,camp_035
237,computer_use,normal,multi_step,easy,computer_route,camp_052
238,policy_edge,proxy_cluster,multi_step,medium,safety_route,camp_074
239,coding,suspicious_campaign,tool_planning,medium,code_route,camp_086
240,reasoning,enterprise_eval,multi_step,easy,reasoning_route,camp_006
241,coding,normal,domain,hard,code_route,camp_023
242,tool_use,proxy_cluster,domain,easy,tool_route,camp_045
243,domain_expert,suspicious_campaign,policy_edge,medium,expert_route,camp_057
244,policy_edge,enterprise_eval,domain,medium,safety_route,camp_074
245,domain_expert,normal,code_generation,hard,expert_route,camp_091
246,reasoning,proxy_cluster,code_generation,easy,reasoning_route,camp_016
247,computer_use,suspicious_campaign,simple_qa,hard,computer_route,camp_028
248,tool_use,enterprise_eval,code_generation,easy,tool_route,camp_045
249,computer_use,normal,multi_step,easy,computer_route,camp_062
250,policy_edge,proxy_cluster,multi_step,medium,safety_route,camp_084
251,coding,suspicious_campaign,tool_planning,medium,code_route,camp_096
252,reasoning,enterprise_eval,multi_step,easy,reasoning_route,camp_016
253,coding,normal,domain,hard,code_route,camp_033
254,tool_use,proxy_cluster,domain,easy,tool_route,camp_055
255,domain_expert,suspicious_campaign,policy_edge,medium,expert_route,camp_067
256,policy_edge,enterprise_eval,domain,medium,safety_route,camp_084
257,domain_expert,normal,code_generation,hard,expert_route,camp_004
258,reasoning,proxy_cluster,code_generation,easy,reasoning_route,camp_026
259,computer_use,suspicious_campaign,simple_qa,hard,computer_route,camp_038
260,tool_use,enterprise_eval,code_generation,easy,tool_route,camp_055
261,computer_use,normal,multi_step,easy,computer_route,camp_072
262,policy_edge,proxy_cluster,multi_step,medium,safety_route,camp_094
263,coding,suspicious_campaign,tool_planning,medium,code_route,camp_009
264,reasoning,enterprise_eval,multi_step,easy,reasoning_route,camp_026
265,coding,normal,domain,hard,code_route,camp_043
266,tool_use,proxy_cluster,domain,easy,tool_route,camp_065
267,domain_expert,suspicious_campaign,policy_edge,medium,expert_route,camp_077
268,policy_edge,enterprise_eval,domain,medium,safety_route,camp_094
269,domain_expert,normal,code_generation,hard,expert_route,camp_014
270,reasoning,proxy_cluster,code_generation,easy,reasoning_route,camp_036
271,computer_use,suspicious_campaign,simple_qa,hard,computer_route,camp_048
272,tool_use,enterprise_eval,code_generation,easy,tool_route,camp_065
273,computer_use,normal,multi_step,easy,computer_route,camp_082
274,policy_edge,proxy_cluster,multi_step,medium,safety_route,camp_007
275,coding,suspicious_campaign,tool_planning,medium,code_route,camp_019
276,reasoning,enterprise_eval,multi_step,easy,reasoning_route,camp_036
277,coding,normal,domain,hard,code_route,camp_053
278,tool_use,proxy_cluster,domain,easy,tool_route,camp_075
279,domain_expert,suspicious_campaign,policy_edge,medium,expert_route,camp_087
280,policy_edge,enterprise_eval,domain,medium,safety_route,camp_007
281,domain_expert,normal,code_generation,hard,expert_route,camp_024
282,reasoning,proxy_cluster,code_generation,easy,reasoning_route,camp_046
283,computer_use,suspicious_campaign,simple_qa,hard,computer_route,camp_058
284,tool_use,enterprise_eval,code_generation,easy,tool_route,camp_075
285,computer_use,normal,multi_step,easy,computer_route,camp_092
286,policy_edge,proxy_cluster,multi_step,medium,safety_route,camp_017
287,coding,suspicious_campaign,tool_planning,medium,code_route,camp_029
288,reasoning,enterprise_eval,multi_step,easy,reasoning_route,camp_046
289,coding,normal,domain,hard,code_route,camp_063
290,tool_use,proxy_cluster,domain,easy,tool_route,camp_085
291,domain_expert,suspicious_campaign,policy_edge,medium,expert_route,camp_000
292,policy_edge,enterprise_eval,domain,medium,safety_route,camp_017
293,domain_expert,normal,code_generation,hard,expert_route,camp_034
294,reasoning,proxy_cluster,code_generation,easy,reasoning_route,camp_056
295,computer_use,suspicious_campaign,simple_qa,hard,computer_route,camp_068
296,tool_use,enterprise_eval,code_generation,easy,tool_route,camp_085
297,computer_use,normal,multi_step,easy,computer_route,camp_005
298,policy_edge,proxy_cluster,multi_step,medium,safety_route,camp_027
299,coding,suspicious_campaign,tool_planning,medium,code_route,camp_039
300,reasoning,enterprise_eval,multi_step,easy,reasoning_route,camp_056
301,coding,normal,domain,hard,code_route,camp_073
302,tool_use,proxy_cluster,domain,easy,tool_route,camp_095
303,domain_expert,suspicious_campaign,policy_edge,medium,expert_route,camp_010
304,policy_edge,enterprise_eval,domain,medium,safety_route,camp_027
305,domain_expert,normal,code_generation,hard,expert_route,camp_044
306,reasoning,proxy_cluster,code_generation,easy,reasoning_route,camp_066
307,computer_use,suspicious_campaign,simple_qa,hard,computer_route,camp_078
308,tool_use,enterprise_eval,code_generation,easy,tool_route,camp_095
309,computer_use,normal,multi_step,easy,computer_route,camp_015
310,policy_edge,proxy_cluster,multi_step,medium,safety_route,camp_037
311,coding,suspicious_campaign,tool_planning,medium,code_route,camp_049
312,reasoning,enterprise_eval,multi_step,easy,reasoning_route,camp_066
313,coding,normal,domain,hard,code_route,camp_083
314,tool_use,proxy_cluster,domain,easy,tool_route,camp_008
315,domain_expert,suspicious_campaign,policy_edge,medium,expert_route,camp_020
316,policy_edge,enterprise_eval,domain,medium,safety_route,camp_037
317,domain_expert,normal,code_generation,hard,expert_route,camp_054
318,reasoning,proxy_cluster,code_generation,easy,reasoning_route,camp_076
319,computer_use,suspicious_campaign,simple_qa,hard,computer_route,camp_088
320,tool_use,enterprise_eval,code_generation,easy,tool_route,camp_008
321,computer_use,normal,multi_step,easy,computer_route,camp_025
322,policy_edge,proxy_cluster,multi_step,medium,safety_route,camp_047
323,coding,suspicious_campaign,tool_planning,medium,code_route,camp_059
324,reasoning,enterprise_eval,multi_step,easy,reasoning_route,camp_076
325,coding,normal,domain,hard,code_route,camp_093
326,tool_use,proxy_cluster,domain,easy,tool_route,camp_018
327,domain_expert,suspicious_campaign,policy_edge,medium,expert_route,camp_030
328,policy_edge,enterprise_eval,domain,medium,safety_route,camp_047
329,domain_expert,normal,code_generation,hard,expert_route,camp_064
330,reasoning,proxy_cluster,code_generation,easy,reasoning_route,camp_086
331,computer_use,suspicious_campaign,simple_qa,hard,computer_route,camp_001
332,tool_use,enterprise_eval,code_generation,easy,tool_route,camp_018
333,computer_use,normal,multi_step,easy,computer_route,camp_035
334,policy_edge,proxy_cluster,multi_step,medium,safety_route,camp_057
335,coding,suspicious_campaign,tool_planning,medium,code_route,camp_069
336,reasoning,enterprise_eval,multi_step,easy,reasoning_route,camp_086
337,coding,normal,domain,hard,code_route,camp_006
338,tool_use,proxy_cluster,domain,easy,tool_route,camp_028
339,domain_expert,suspicious_campaign,policy_edge,medium,expert_route,camp_040
340,policy_edge,enterprise_eval,domain,medium,safety_route,camp_057
341,domain_expert,normal,code_generation,hard,expert_route,camp_074
342,reasoning,proxy_cluster,code_generation,easy,reasoning_route,camp_096
343,computer_use,suspicious_campaign,simple_qa,hard,computer_route,camp_011
344,tool_use,enterprise_eval,code_generation,easy,tool_route,camp_028
345,computer_use,normal,multi_step,easy,computer_route,camp_045
346,policy_edge,proxy_cluster,multi_step,medium,safety_route,camp_067
347,coding,suspicious_campaign,tool_planning,medium,code_route,camp_079
348,reasoning,enterprise_eval,multi_step,easy,reasoning_route,camp_096
349,coding,normal,domain,hard,code_route,camp_016
350,tool_use,proxy_cluster,domain,easy,tool_route,camp_038
351,domain_expert,suspicious_campaign,policy_edge,medium,expert_route,camp_050
352,policy_edge,enterprise_eval,domain,medium,safety_route,camp_067
353,domain_expert,normal,code_generation,hard,expert_route,camp_084
354,reasoning,proxy_cluster,code_generation,easy,reasoning_route,camp_009
355,computer_use,suspicious_campaign,simple_qa,hard,computer_route,camp_021
356,tool_use,enterprise_eval,code_generation,easy,tool_route,camp_038
357,computer_use,normal,multi_step,easy,computer_route,camp_055
358,policy_edge,proxy_cluster,multi_step,medium,safety_route,camp_077
359,coding,suspicious_campaign,tool_planning,medium,code_route,camp_089
360,reasoning,enterprise_eval,multi_step,easy,reasoning_route,camp_009
361,coding,normal,domain,hard,code_route,camp_026
362,tool_use,proxy_cluster,domain,easy,tool_route,camp_048
363,domain_expert,suspicious_campaign,policy_edge,medium,expert_route,camp_060
364,policy_edge,enterprise_eval,domain,medium,safety_route,camp_077
365,domain_expert,normal,code_generation,hard,expert_route,camp_094
366,reasoning,proxy_cluster,code_generation,easy,reasoning_route,camp_019
367,computer_use,suspicious_campaign,simple_qa,hard,computer_route,camp_031
368,tool_use,enterprise_eval,code_generation,easy,tool_route,camp_048
369,computer_use,normal,multi_step,easy,computer_route,camp_065
370,policy_edge,proxy_cluster,multi_step,medium,safety_route,camp_087
371,coding,suspicious_campaign,tool_planning,medium,code_route,camp_002
372,reasoning,enterprise_eval,multi_step,easy,reasoning_route,camp_019
373,coding,normal,domain,hard,code_route,camp_036
374,tool_use,proxy_cluster,domain,easy,tool_route,camp_058
375,domain_expert,suspicious_campaign,policy_edge,medium,expert_route,camp_070
376,policy_edge,enterprise_eval,domain,medium,safety_route,camp_087
377,domain_expert,normal,code_generation,hard,expert_route,camp_007
378,reasoning,proxy_cluster,code_generation,easy,reasoning_route,camp_029
379,computer_use,suspicious_campaign,simple_qa,hard,computer_route,camp_041
380,tool_use,enterprise_eval,code_generation,easy,tool_route,camp_058
381,computer_use,normal,multi_step,easy,computer_route,camp_075
382,policy_edge,proxy_cluster,multi_step,medium,safety_route,camp_000
383,coding,suspicious_campaign,tool_planning,medium,code_route,camp_012
384,reasoning,enterprise_eval,multi_step,easy,reasoning_route,camp_029
385,coding,normal,domain,hard,code_route,camp_046
386,tool_use,proxy_cluster,domain,easy,tool_route,camp_068
387,domain_expert,suspicious_campaign,policy_edge,medium,expert_route,camp_080
388,policy_edge,enterprise_eval,domain,medium,safety_route,camp_000
389,domain_expert,normal,code_generation,hard,expert_route,camp_017
390,reasoning,proxy_cluster,code_generation,easy,reasoning_route,camp_039
391,computer_use,suspicious_campaign,simple_qa,hard,computer_route,camp_051
392,tool_use,enterprise_eval,code_generation,easy,tool_route,camp_068
393,computer_use,normal,multi_step,easy,computer_route,camp_085
394,policy_edge,proxy_cluster,multi_step,medium,safety_route,camp_010
395,coding,suspicious_campaign,tool_planning,medium,code_route,camp_022
396,reasoning,enterprise_eval,multi_step,easy,reasoning_route,camp_039
397,coding,normal,domain,hard,code_route,camp_056
398,tool_use,proxy_cluster,domain,easy,tool_route,camp_078
399,domain_expert,suspicious_campaign,policy_edge,medium,expert_route,camp_090
400,policy_edge,enterprise_eval,domain,medium,safety_route,camp_010
401,domain_expert,normal,code_generation,hard,expert_route,camp_027
402,reasoning,proxy_cluster,code_generation,easy,reasoning_route,camp_049
403,computer_use,suspicious_campaign,simple_qa,hard,computer_route,camp_061
404,tool_use,enterprise_eval,code_generation,easy,tool_route,camp_078
405,computer_use,normal,multi_step,easy,computer_route,camp_095
406,policy_edge,proxy_cluster,multi_step,medium,safety_route,camp_020
407,coding,suspicious_campaign,tool_planning,medium,code_route,camp_032
408,reasoning,enterprise_eval,multi_step,easy,reasoning_route,camp_049
409,coding,normal,domain,hard,code_route,camp_066
410,tool_use,proxy_cluster,domain,easy,tool_route,camp_088
411,domain_expert,suspicious_campaign,policy_edge,medium,expert_route,camp_003
412,policy_edge,enterprise_eval,domain,medium,safety_route,camp_020
413,domain_expert,normal,code_generation,hard,expert_route,camp_037
414,reasoning,proxy_cluster,code_generation,easy,reasoning_route,camp_059
415,computer_use,suspicious_campaign,simple_qa,hard,computer_route,camp_071
416,tool_use,enterprise_eval,code_generation,easy,tool_route,camp_088
417,computer_use,normal,multi_step,easy,computer_route,camp_008
418,policy_edge,proxy_cluster,multi_step,medium,safety_route,camp_030
419,coding,suspicious_campaign,tool_planning,medium,code_route,camp_042
420,reasoning,enterprise_eval,multi_step,easy,reasoning_route,camp_059
421,coding,normal,domain,hard,code_route,camp_076
422,tool_use,proxy_cluster,domain,easy,tool_route,camp_001
423,domain_expert,suspicious_campaign,policy_edge,medium,expert_route,camp_013
424,policy_edge,enterprise_eval,domain,medium,safety_route,camp_030
425,domain_expert,normal,code_generation,hard,expert_route,camp_047
426,reasoning,proxy_cluster,code_generation,easy,reasoning_route,camp_069
427,computer_use,suspicious_campaign,simple_qa,hard,computer_route,camp_081
428,tool_use,enterprise_eval,code_generation,easy,tool_route,camp_001
429,computer_use,normal,multi_step,easy,computer_route,camp_018
430,policy_edge,proxy_cluster,multi_step,medium,safety_route,camp_040
431,coding,suspicious_campaign,tool_planning,medium,code_route,camp_052
432,reasoning,enterprise_eval,multi_step,easy,reasoning_route,camp_069
433,coding,normal,domain,hard,code_route,camp_086
434,tool_use,proxy_cluster,domain,easy,tool_route,camp_011
435,domain_expert,suspicious_campaign,policy_edge,medium,expert_route,camp_023
